drug_name,active_ingredient,drug_classes,original_conditions
striverdi respimat,olodaterol,Adrenergic bronchodilators,COPD
sucralfate,sucralfate,Miscellaneous GI agents,Duodenal Ulce|Duodenal Ulcer|Duodenal Ulcer Prophylaxis|GERD|GERD (Heartburn)|Hyperphosphatemia of Renal Failure|Not Listed / Othe|Stomach Ulce|Stomach Ulcer (Gastric Ulcer)|Stomatitis|Stress Ulcer Prophylaxis
sular,nisoldipine,Calcium channel blocking agents,Hypertension|Raynaud's Syndrome
sulfoam,sulfur topical,Miscellaneous topical agents,Acne
sulfur,sulfur topical,Miscellaneous topical agents,Acne
sulindac,sulindac,Nonsteroidal anti-inflammatory drugs,"Ankylosing Spondylitis|Bursitis|Familial Adenomatous Polyposis|Gout, Acute|Juvenile Rheumatoid Arthritis|Osteoarthritis|Pain|Rheumatoid Arthritis|Tendonitis"
sulpho-lac soap,sulfur topical,Miscellaneous topical agents,Acne
sumatriptan,sumatriptan,Antimigraine agents,Cluster Headaches|Cyclic Vomiting Syndrome|Migraine|New Daily Persistent Headache|Not Listed / Othe
sunmark clearlax,polyethylene glycol 3350,Laxatives,Constipation
supartz,sodium hyaluronate,Viscosupplementation agents,Osteoarthritis
suprax,cefixime,Third generation cephalosporins,Bladder Infection|Bronchitis|Otitis Media|STD Prophylaxis|Sinusitis|Urinary Tract Infection
surmontil,trimipramine,Tricyclic antidepressants,Depression
sustiva,efavirenz,NNRTIs,AIDS/HIV|HIV Infection|Nonoccupational Exposure
suvorexant,suvorexant,"Miscellaneous anxiolytics, sedatives and hypnotics",Insomnia
symlin,pramlintide,Amylin analogs,"Diabetes (Type 1)|Diabetes, Type 1|Diabetes, Type 2"
symlin pen,pramlintide,Amylin analogs,Diabetes (Type 1)
symlinpen 120,pramlintide,Amylin analogs,Diabetes (Type 1)
symlinpen 60,pramlintide,Amylin analogs,"Diabetes (Type 1)|Diabetes, Type 1"
synalar,fluocinolone topical,Topical steroids,Dermatitis|Eczema|Lichen Sclerosus
synthroid,levothyroxine,Thyroid drugs,"Hashimoto's disease|Hypothyroidism|Hypothyroidism, After Thyroid Removal|Myxedema Coma|Underactive Thyroid"
synvisc,hylan g-f 20,Viscosupplementation agents,Osteoarthritis
synvisc-one,hylan g-f 20,Viscosupplementation agents,Osteoarthritis
tactinal,acetaminophen,Miscellaneous analgesics,Pain
tadalafil,tadalafil,"Agents for pulmonary hypertension, Impotence agents",Benign Prostatic Hyperplasia|Erectile Dysfunction|Not Listed / Othe|Pulmonary Hypertension
tagamet hb,cimetidine,H2 antagonists,GERD (Heartburn)
tamiflu,oseltamivir,Neuraminidase inhibitors,Avian Influenza|Influenza|Influenza Prophylaxis|Swine Flu
tapentadol,tapentadol,Opioids (narcotic analgesics),Diabetic Peripheral Neuropathy|Pain
tarsum,coal tar topical,Miscellaneous topical agents,Psoriasis
tavist nd,loratadine,Antihistamines,Hayfever
tazarotene,tazarotene topical,"Topical acne agents, Topical antipsoriatics",Acne|Facial Wrinkles|Psoriasis|Skin Pigmentation Disorder|acial Wrinkles
tazicef,ceftazidime,Third generation cephalosporins,Pneumonia
tazorac,tazarotene topical,"Topical acne agents, Topical antipsoriatics",Acne|Psoriasis
taztia xt,diltiazem,"Calcium channel blocking agents, Group IV antiarrhythmics",Hypertension
teflaro,ceftaroline,Next generation cephalosporins,Pneumonia
tekturna,aliskiren,Renin inhibitors,High Blood Pressure|Hypertension
telavancin,telavancin,Glycopeptide antibiotics,Pneumonia
telmisartan,telmisartan,Angiotensin receptor blockers,Cardiovascular Risk Reduction|High Blood Pressure|Hypertension|Prevention of Cardiovascular Disease
temazepam,temazepam,Benzodiazepines,Insomnia|Not Listed / Othe
temovate,clobetasol topical,Topical steroids,Dermatitis|Eczema|Lichen Sclerosus|Psoriasis
tempra quicklets,acetaminophen,Miscellaneous analgesics,Pain
tenormin,atenolol,Cardioselective beta blockers,Angina|Anxiety|High Blood Pressure|Migraine Prevention|Mitral Valve Prolapse|Supraventricular Tachycardia|Ventricular Tachycardia
tepadina,thiotepa,Alkylating agents,Cancer
terazosin,terazosin,"Alpha-adrenoreceptor antagonists, Antiadrenergic agents, peripherally acting",Benign Prostatic Hyperplasia|High Blood Pressure|Hyperhidrosis|Hypertension
teriparatide,teriparatide,Parathyroid hormone and analogs,Hypoparathyroidism|Not Listed / Othe|Osteoporosis
tetracycline,tetracycline,Tetracyclines,"Acne|Brucellosis|Bullous Pemphigoid|Chlamydia Infection|Ehrlichiosis|Epididymitis, Sexually Transmitted|Gonococcal Infection, Uncomplicated|Helicobacter Pylori Infection|Lyme Disease, Arthritis|Lyme Disease, Carditis|Lyme Disease, Erythema Chronicum Migrans|Lyme Disease, Neurologic|Ocular Rosacea|Ornithosis|Pemphigoid|Pemphigus|Psittacosis|Rickettsial Infection|Syphilis, Early|Syphilis, Latent|Tertiary Syphilis"
texacort,hydrocortisone,Topical steroids,Eczema
theracaps multi-symptom cough & cold reliever,acetaminophen/chlorpheniramine/dextromethorphan/pseudoephedrine caps & tabs,Upper respiratory combinations,Colds & Flu
theraflu nighttime severe cold & cough caplets,acetaminophen/chlorpheniramine/dextromethorphan/phenylephrine caps & tabs,Upper respiratory combinations,Colds & Flu
theramycin z,erythromycin topical,"Topical acne agents, Topical antibiotics",Acne
theraplex t,coal tar topical,Miscellaneous topical agents,Psoriasis
thiotepa,thiotepa,Alkylating agents,Bladder Cancer|Cancer|Serosal Cavity Neoplastic Disease
thyquidity,levothyroxine sodium,Thyroid drugs,Hypothyroidism
tiagabine,tiagabine,Gamma-aminobutyric acid reuptake inhibitors,Bipolar Disorde|Bipolar Disorder|Seizures
tiazac,diltiazem,"Calcium channel blocking agents, Group IV antiarrhythmics",Atrial Fibrillation|Hypertension
tigecycline,tigecycline,Glycylcyclines,Intraabdominal Infection|Pneumonia
tildrakizumab,tildrakizumab,Interleukin inhibitors,Psoriasis
timothy grass pollen allergen extract,timothy grass pollen allergen extract,Allergenics,Hayfever
tipranavir,tipranavir,Protease inhibitors,AIDS/HIV
tirosint,levothyroxine,Thyroid drugs,"Hashimoto's disease|Hypothyroidism|Hypothyroidism, After Thyroid Removal|TSH Suppression|Underactive Thyroid"
tirosint-sol,levothyroxine,Thyroid drugs,Hypothyroidism
tirzepatide,tirzepatide,Incretin mimetics,Diabetes (Type 2)
titralac,calcium carbonate,"Antacids, Minerals and electrolytes",GERD (Heartburn)
tivicay,dolutegravir,Integrase strand transfer inhibitor,AIDS/HIV|HIV Infection
tivicay pd,dolutegravir,Integrase strand transfer inhibitor,AIDS/HIV
tivorbex,indomethacin,Nonsteroidal anti-inflammatory drugs,Pain
tobi,tobramycin,"Aminoglycosides, Inhaled anti-infectives",Pneumonia
tobramycin,tobramycin,"Aminoglycosides, Inhaled anti-infectives","Conjunctivitis, Bacterial|Cystic Fibrosis|Endocarditis|Pneumonia|Rabbit Fever (Tularemia)|Sepsis|Shunt Infection"
tocilizumab,tocilizumab,Interleukin inhibitors,Covid 19|Cytokine Release Syndrome|Giant Cell Arteritis|Juvenile Idiopathic Arthritis|Rheumatoid Arthritis|Still's Disease|Systemic Sclerosis
tofranil,imipramine,Tricyclic antidepressants,Depression|Interstitial Cystitis|Night Terrors|Panic Disorde|Primary Nocturnal Enuresis
tolterodine,tolterodine,Urinary antispasmodics,Incontinence|Overactive Bladde|Urinary Frequency|Urinary Incontinence
topamax,topiramate,Carbonic anhydrase inhibitor anticonvulsants,Bipolar Disorde|Bulimia|Diabetic Peripheral Neuropathy|Migraine Prevention|Obesity|Seizure Prevention|Seizures|Smoking Cessation|Tourette's Syndrome|Trigeminal Neuralgia|Vulvodynia|ibromyalgia
topicaine,benzocaine,Topical anesthetics,Pain
topical anesthetic dental gel,benzocaine,Topical anesthetics,Oral and Dental Conditions|Pain
topicort,desoximetasone topical,Topical steroids,Atopic Dermatitis|Eczema|Psoriasis
