drug_name,active_ingredient,drug_classes,original_conditions
indocin sr,indomethacin,Nonsteroidal anti-inflammatory drugs,Ankylosing Spondylitis|Osteoarthritis|Pain|Tendonitis
indomethacin,indomethacin,Nonsteroidal anti-inflammatory drugs,"Ankylosing Spondylitis|Back Pain|Bartter Syndrome|Bursitis|Cluster Headaches|Frozen Shoulder|Gitelman Syndrome|Gout, Acute|Langerhans' Cell Histiocytosis|Not Listed / Othe|Osteoarthritis|Pain|Patent Ductus Arteriosus|Rheumatoid Arthritis|Sciatica|Tendonitis|zen Shoulde"
infumorph,morphine,Opioids (narcotic analgesics),Chronic Pain|Pain
innopran xl,propranolol,"Group II antiarrhythmics, Non-cardioselective beta blockers",Hypertension|Migraine Prevention
inspra,eplerenone,"Aldosterone receptor antagonists, Potassium-sparing diuretics",High Blood Pressure|Hypertension
insulin aspart,insulin aspart,Insulin,"Diabetes (Type 1)|Diabetes, Type 1|Diabetes, Type 2|Diabetic Ketoacidosis|Nonketotic Hyperosmolar Syndrome"
insulin detemir,insulin detemir,Insulin,"Diabetes (Type 1)|Diabetes, Type 1|Diabetes, Type 2"
insulin glargine,insulin glargine,Insulin,"Diabetes (Type 1)|Diabetes, Type 1|Diabetes, Type 2"
insulin glulisine,insulin glulisine,Insulin,"Diabetes (Type 1)|Diabetes, Type 1|Diabetes, Type 2|Diabetic Ketoacidosis|Nonketotic Hyperosmolar Syndrome"
insulin isophane,insulin isophane,Insulin,"Diabetes (Type 1)|Diabetes, Type 1|Diabetes, Type 2|Gestational Diabetes"
insulin lispro,insulin lispro,Insulin,"Diabetes (Type 1)|Diabetes, Type 1|Diabetes, Type 2|Diabetic Ketoacidosis|Nonketotic Hyperosmolar Syndrome"
insulin regular,insulin regular,Insulin,"Diabetes (Type 1)|Diabetes, Type 1|Diabetes, Type 2|Diabetic Ketoacidosis|Gestational Diabetes|Growth Hormone Reserve Test|Hyperkalemia|Insulin Resistance Syndrome|Insulin Resistance Syndrome (Metabolic Syndrome)|Nonketotic Hyperosmolar Syndrome"
integrilin,eptifibatide,Glycoprotein platelet inhibitors,Angina
intelence,etravirine,NNRTIs,AIDS/HIV|HIV Infection
intuniv,guanfacine,"Antiadrenergic agents, centrally acting",ADHD
invanz,ertapenem,Carbapenems,Pneumonia
invega,paliperidone,Atypical antipsychotics,Bipolar Disorde|Depression|Schizoaffective Disorde|Schizophrenia
invega sustenna,paliperidone,Atypical antipsychotics,Schizoaffective Disorde|Schizophrenia
invirase,saquinavir,Protease inhibitors,AIDS/HIV
invokana,canagliflozin,SGLT-2 inhibitors,"Diabetes (Type 2)|Diabetes, Type 2"
ionil t,coal tar topical,Miscellaneous topical agents,Psoriasis
ipratropium,ipratropium inhalation,Anticholinergic bronchodilators,"Asthma|Bronchiectasis|COPD, Maintenance|Rhinorrhea"
irbesartan,irbesartan,Angiotensin receptor blockers,Diabetic Kidney Disease|Diabetic Kidney Disease (Diabetic Nephropathy)|High Blood Pressure|Hypertension|Not Listed / Othe
irenka,duloxetine,Serotonin-norepinephrine reuptake inhibitors,Depression
isentress,raltegravir,Integrase strand transfer inhibitor,AIDS/HIV|HIV Infection
isentress hd,raltegravir,,AIDS/HIV
isocarboxazid,isocarboxazid,Monoamine oxidase inhibitors,Depression
isotretinoin,isotretinoin,"Miscellaneous antineoplastics, Miscellaneous uncategorized agents","Acne|Acute Nonlymphocytic Leukemia|Granuloma Annulare|Melanoma, Metastatic|Not Listed / Othe|Pityriasis rubra pilaris|Rosacea"
itch relief,diphenhydramine,Topical antihistamines,Pain
itch-x lotion,hydrocortisone topical,Topical steroids,Eczema
januvia,sitagliptin,Dipeptidyl peptidase 4 inhibitors,"Diabetes (Type 2)|Diabetes, Type 2"
jardiance,empagliflozin,SGLT-2 inhibitors,"Diabetes (Type 2)|Diabetes, Type 2"
jornay pm,methylphenidate hydrochloride,CNS stimulants,ADHD
juulissa pharmapak,triamcinolone acetonide,Topical steroids,Eczema
juxtapid,lomitapide,Miscellaneous antihyperlipidemic agents,Cholesterol
kadian,morphine,Opioids (narcotic analgesics),Chronic Pain|Pain
kank-a,benzocaine topical,Topical anesthetics,Pain
kaopectate,bismuth subsalicylate,Antidiarrheals,Diarrhea
kapvay,clonidine,"Antiadrenergic agents, centrally acting",ADHD
karbinal er,carbinoxamine,Antihistamines,Hayfever
katerzia,amlodipine,Calcium channel blocking agents,Angina
keflex,cephalexin,First generation cephalosporins,Acne|Bacterial Infection|Bladder Infection|Bone infection|Kidney Infections|Otitis Media|Skin or Soft Tissue Infection|Upper Respiratory Tract Infection
kenalog,triamcinolone topical,Topical steroids,Atopic Dermatitis|Dermatitis|Eczema|Psoriasis
kenalog-10,triamcinolone,Glucocorticoids,Alopecia|Dermatological Disorders|Hair Loss|Osteoarthritis|Pityriasis rubra pilaris|Psoriasis
kenalog-40,triamcinolone,Glucocorticoids,Allergic Rhinitis|Asthma|Dermatitis|Iritis|Lichen Planus|Osteoarthritis|Psoriasis|Rheumatoid Arthritis|Sarcoidosis|Systemic Lupus Erythematosus
keppra,levetiracetam,Pyrrolidine anticonvulsants,Bipolar Disorde|Epilepsy|Neuralgia|New Daily Persistent Headache|Seizures
keppra xr,levetiracetam,Pyrrolidine anticonvulsants,Epilepsy|Seizures
ketorolac,ketorolac,Nonsteroidal anti-inflammatory drugs,Corneal Refractive Surgery|Pain|Postoperative Ocular Inflammation|Postoperative Pain|Seasonal Allergic Conjunctivitis
kevzara,sarilumab,"Antirheumatics, Interleukin inhibitors",Rheumatoid Arthritis
kineret,anakinra,"Antirheumatics, Interleukin inhibitors",Covid 19|Schnitzler Syndrome|Still's Disease
konsyl,psyllium,Laxatives,Constipation|Irritable Bowel Syndrome
krystexxa,pegloticase,Antihyperuricemic agents,Gout
l-methylfolate,l-methylfolate,Vitamins,Borderline Personality Disorde|Borderline Personality Disorder|Depression|Folic Acid Deficiency|Hyperhomocysteinemia|lic Acid Deficiency
labetalol,labetalol,Non-cardioselective beta blockers,High Blood Pressure|Hypertension|Hypertensive Emergency|Mitral Valve Prolapse|Pheochromocytoma|Postural Orthostatic Tachycardia Syndrome
lacosamide,lacosamide,Miscellaneous anticonvulsants,Seizures
lagevrio,molnupiravir,Miscellaneous antivirals,Covid 19
lamictal,lamotrigine,Triazine anticonvulsants,Bipolar Disorde|Bipolar Disorder|Epilepsy|Post Traumatic Stress Disorde|Schizoaffective Disorde|Seizure Prevention
lamictal cd,lamotrigine,Triazine anticonvulsants,Bipolar Disorder
lamictal odt,lamotrigine,Triazine anticonvulsants,Bipolar Disorde|Bipolar Disorder
lamivudine,lamivudine,Nucleoside reverse transcriptase inhibitors (NRTIs),AIDS/HIV|HIV Infection|Hepatitis B|Nonoccupational Exposure|Occupational Exposure
lamotrigine,lamotrigine,Triazine anticonvulsants,Anxiety|Bipolar Disorde|Bipolar Disorder|Borderline Personality Disorde|Borderline Personality Disorder|Cyclothymic Disorde|Cyclothymic Disorder|Depression|Epilepsy|Migraine Prevention|Not Listed / Othe|Post Traumatic Stress Disorde|Post Traumatic Stress Disorder|Restless Legs Syndrome|Schizoaffective Disorde|Schizoaffective Disorder|Seizure Prevention|Seizure Prevention (Seizure Prophylaxis)
lanacane,benzocaine topical,Topical anesthetics,Pain|Pruritus
lansoprazole,lansoprazole,Proton pump inhibitors,Aspiration Pneumonia|Barrett's Esophagus|Duodenal Ulcer|Duodenal Ulcer Prophylaxis|Erosive Esophagitis|GERD|GERD (Heartburn)|Gastritis/Duodenitis|Helicobacter Pylori Infection|Hiatal Hernia|Laryngopharyngeal Reflux|Multiple Endocrine Adenomas|NSAID-Induced Gastric Ulce|NSAID-Induced Gastric Ulcer|NSAID-Induced Ulcer Prophylaxis|Stomach Ulce|Stomach Ulcer (Gastric Ulcer)|Systemic Mastocytosis|Zollinger-Ellison Syndrome
lantus,insulin glargine,Insulin,"Diabetes (Type 1)|Diabetes, Type 1|Diabetes, Type 2"
lantus solostar,insulin glargine,Insulin,"Diabetes (Type 1)|Diabetes, Type 1|Diabetes, Type 2"
lasix,furosemide,Loop diuretics,Edema|Heart Failure|High Blood Pressure|Hypertension
latuda,lurasidone,Atypical antipsychotics,Bipolar Disorde|Bipolar Disorder|Borderline Personality Disorde|Schizoaffective Disorde|Schizophrenia
lefamulin,lefamulin,Miscellaneous antibiotics,Pneumonia
leflunomide,leflunomide,"Antirheumatics, Selective immunosuppressants",Psoriatic Arthritis|Rheumatoid Arthritis
lemborexant,lemborexant,"Miscellaneous anxiolytics, sedatives and hypnotics",Insomnia
leqvio,inclisiran,Miscellaneous antihyperlipidemic agents,Cholesterol
lescol xl,fluvastatin,Statins,Cholesterol
levalbuterol,levalbuterol inhalation,Adrenergic bronchodilators,"Asthma|Asthma, Maintenance|Asthma, acute|COPD|COPD, Acute|COPD, Maintenance"
levamlodipine,levamlodipine,Calcium channel blocking agents,Hypertension
levaquin,levofloxacin,Quinolones,Bacterial Infection|Bladder Infection|Bronchitis|Kidney Infections|Otitis Media|Pneumonia|Prostatitis|Sinusitis|Skin or Soft Tissue Infection|Streptococcal Infection|Urinary Tract Infection
levemir,insulin detemir,Insulin,"Diabetes (Type 1)|Diabetes, Type 1|Diabetes, Type 2"
levetiracetam,levetiracetam,Pyrrolidine anticonvulsants,Bipolar Disorde|Bipolar Disorder|Epilepsy|Hyperekplexia|Neuralgia|New Daily Persistent Headache|Not Listed / Othe|Seizures|Seizures (Convulsions)
levo-t,levothyroxine sodium,Thyroid drugs,Hashimoto's disease|Hypothyroidism
levocetirizine,levocetirizine,Antihistamines,Allergic Rhinitis|Allergies|Not Listed / Othe|Urticaria
levofloxacin,levofloxacin,Quinolones,"Anthrax|Anthrax Prophylaxis|Bacterial Infection|Bladder Infection|Bronchitis|Chlamydia Infection|Conjunctivitis, Bacterial|Corneal Ulcer|Epididymitis, Sexually Transmitted|Gonococcal Infection, Disseminated|Gonococcal Infection, Uncomplicated|Kidney Infections|Kidney Infections (Pyelonephritis)|Nongonococcal Urethritis|Nosocomial Pneumonia|Not Listed / Othe|Ophthalmic Surgery|Otitis Media|Pelvic Inflammatory Disease|Plague|Plague Prophylaxis|Pneumonia|Prostatitis|Sinusitis|Skin or Soft Tissue Infection|Streptococcal Infection|Tuberculosis, Active|Urinary Tract Infection"
levomilnacipran,levomilnacipran,Serotonin-norepinephrine reuptake inhibitors,Depression|Major Depressive Disorde
levothyroxine,levothyroxine,Thyroid drugs,"Hashimoto's disease|Hashimoto's disease (Chronic Lymphocytic Thyroiditis)|Hypothyroidism|Hypothyroidism, After Thyroid Removal|Hypothyroidism, After Thyroid Removal (Hypothyroidism, Post-Thyroidectomy)|Myxedema Coma|Not Listed / Othe|TSH Suppression|Thyroid Suppression Test|Underactive Thyroid|Underactive Thyroid (Hypothyroidism)"
levoxyl,levothyroxine,Thyroid drugs,"Hashimoto's disease|Hypothyroidism|Hypothyroidism, After Thyroid Removal|TSH Suppression|Underactive Thyroid"
lexapro,escitalopram,Selective serotonin reuptake inhibitors,Anxiety|Bipolar Disorde|Depression|Generalized Anxiety Disorde|Irritable Bowel Syndrome|Major Depressive Disorde|Obsessive Compulsive Disorde|Premenstrual Dysphoric Disorde|ibromyalgia
lexiva,fosamprenavir,Protease inhibitors,AIDS/HIV
lialda,mesalamine,5-aminosalicylates,"Crohn's Disease|IBD (Bowel)|Ulcerative Colitis|Ulcerative Colitis, Active|Ulcerative Colitis, Maintenance|Ulcerative Proctitis"
lidamantle,lidocaine topical,Topical anesthetics,Pain
lidocaine,lidocaine topical,Topical anesthetics,"Anal Itching|Anesthesia|Arrhythmia|Burning Mouth Syndrome (Glossopyrosis)|Burns, External|Costochondritis|Gastrointestinal|Gastrointestinal Surgery|Gastrointestinal Tract Examination|Hemorrhoids|Local Anesthesia|Manscaping Pain|Neuropathic Pain|Not Listed / Othe|Ophthalmic Surgery|Pain|Postherpetic Neuralgia|Pruritus|Sunburn|Ventricular Fibrillation|Ventricular Tachycardia"
lidocaine viscous,lidocaine viscous,Topical anesthetics,Gastrointestinal|Pain
lidopac,lidocaine,Topical anesthetics,Pain
lidorx,lidocaine topical,Topical anesthetics,Pain
lidotrans 5 pak,lidocaine,Topical anesthetics,Pain
lidozion,lidocaine hydrochloride,Topical anesthetics,Pain
linagliptin,linagliptin,Dipeptidyl peptidase 4 inhibitors,"Diabetes (Type 2)|Diabetes, Type 2"
linezolid,linezolid,Oxazolidinone antibiotics,Bacteremia|Bacterial Infection|Methicillin-Resistant Staphylococcus Aureus Infection|Nosocomial Pneumonia|Pneumonia|Skin and Structure Infection
liothyronine,liothyronine,Thyroid drugs,"Hypothyroidism|Hypothyroidism, After Thyroid Removal|Hypothyroidism, After Thyroid Removal (Hypothyroidism, Post-Thyroidectomy)|Myxedema|Myxedema Coma|TSH Suppression|Thyroid Suppression Test|Underactive Thyroid|Underactive Thyroid (Hypothyroidism)"
lipitor,atorvastatin,Statins,"Cholesterol|High Cholesterol|High Cholesterol, Familial Heterozygous|High Cholesterol, Familial Homozygous|Prevention of Cardiovascular Disease"
liquimat light,sulfur topical,Miscellaneous topical agents,Acne
liquimat medium,sulfur topical,Miscellaneous topical agents,Acne
liraglutide,liraglutide,Incretin mimetics,"Cardiovascular Risk Reduction|Diabetes (Type 2)|Diabetes, Type 1|Diabetes, Type 2|Not Listed / Othe|Obesity|Weight Loss"
lisdexamfetamine,lisdexamfetamine,CNS stimulants,ADHD|ADHD (Attention Deficit Hyperactivity Disorder)|Asperger Syndrome|Binge Eating Disorde|Binge Eating Disorder|Chronic Fatigue Syndrome|Depression|Narcolepsy|Not Listed / Othe|Oppositional Defiant Disorde|Oppositional Defiant Disorder
lisinopril,lisinopril,Angiotensin Converting Enzyme Inhibitors,Alport Syndrome|Coronary Artery Disease|Diabetic Kidney Disease|Diabetic Kidney Disease (Diabetic Nephropathy)|Heart Attack|Heart Attack (Myocardial Infarction)|Heart Failure|Heart Failure (Congestive Heart Failure)|High Blood Pressure|High Blood Pressure (Hypertension)|Hypertension|Migraine Prevention|Migraine Prevention (Migraine Prophylaxis)|Nephropathy|Not Listed / Othe|Polycystic Kidney Disease
lithium,lithium,Antimanic agents,Bipolar Disorde|Bipolar Disorder|Borderline Personality Disorde|Borderline Personality Disorder|Cluster Headaches|Cyclothymic Disorde|Cyclothymic Disorder|Depression|Intermittent Explosive Disorder|Mania|Not Listed / Othe|Schizoaffective Disorde|Schizoaffective Disorder
lithobid,lithium,Antimanic agents,Bipolar Disorde|Bipolar Disorder|Schizoaffective Disorde
lithostat,acetohydroxamic acid,Miscellaneous genitourinary tract agents,UTI|Urinary Tract Infection
livalo,pitavastatin,Statins,Cholesterol|High Cholesterol
lixisenatide,lixisenatide,Incretin mimetics,Diabetes (Type 2)
lmx 4,lidocaine,Topical anesthetics,Anesthesia|Pain
lmx 5,lidocaine,Topical anesthetics,Hemorrhoids|Pain
locoid,hydrocortisone topical,Topical steroids,Eczema
locoid lipocream,hydrocortisone,Topical steroids,Dermatitis|Eczema
lokara,desonide topical,Topical steroids,Eczema
lomaira,phentermine,Anorexiants,Obesity|Weight Loss
lomitapide,lomitapide,Miscellaneous antihyperlipidemic agents,"Cholesterol|High Cholesterol, Familial Homozygous"
loperamide,loperamide,Antidiarrheals,"Diarrhea|Diarrhea, Acute|Diarrhea, Chronic|Lymphocytic Colitis|Traveler's Diarrhea"
lopid,gemfibrozil,Fibric acid derivatives,Cholesterol|High Cholesterol
lopressor,metoprolol,Cardioselective beta blockers,Angina|High Blood Pressure
loratadine,loratadine,Antihistamines,Allergic Reactions|Allergic Rhinitis|Allergies|Not Listed / Othe|Physical Urticaria|Urticaria
lorazepam,lorazepam,"Benzodiazepine anticonvulsants, Benzodiazepines, Miscellaneous antiemetics","Anxiety|Borderline Personality Disorde|Borderline Personality Disorder|Cervical Dystonia|Cervical Dystonia (Spasmodic Torticollis)|Dysautonomia|ICU Agitation|Insomnia|Light Anesthesia|Nausea/Vomiting|Nausea/Vomiting, Chemotherapy Induced|Not Listed / Othe|Panic Disorde|Panic Disorder|Sedation|Status Epilepticus"
lorazepam intensol,lorazepam,"Benzodiazepine anticonvulsants, Benzodiazepines, Miscellaneous antiemetics",Anxiety|Panic Disorde|Sedation
loreev xr,lorazepam,Benzodiazepines,Anxiety
losartan,losartan,Angiotensin receptor blockers,Alport Syndrome|Diabetic Kidney Disease|Diabetic Kidney Disease (Diabetic Nephropathy)|High Blood Pressure|High Blood Pressure (Hypertension)|Hypertension|Not Listed / Othe
lotensin,benazepril,Angiotensin Converting Enzyme Inhibitors,High Blood Pressure|Hypertension
lovastatin,lovastatin,Statins,"Cholesterol|High Cholesterol|High Cholesterol, Familial Heterozygous|Hyperlipoproteinemia|Hyperlipoproteinemia Type IIa, Elevated LDL|Hyperlipoproteinemia Type IIb, Elevated LDL   VLDL"
lovenox,enoxaparin,Heparins,"Angina|Deep Vein Thrombosis|Deep Vein Thrombosis, Prophylaxis"
loxapine,loxapine,Miscellaneous antipsychotic agents,Agitated State|Agitation|Not Listed / Othe|Schizophrenia
lta ii kit,lidocaine viscous,Topical anesthetics,Gastrointestinal
lumateperone,lumateperone,Atypical antipsychotics,Bipolar Disorder
lunesta,eszopiclone,"Miscellaneous anxiolytics, sedatives and hypnotics",Insomnia
lurasidone,lurasidone,Atypical antipsychotics,Bipolar Disorde|Bipolar Disorder|Borderline Personality Disorde|Borderline Personality Disorder|Not Listed / Othe|Schizoaffective Disorde|Schizoaffective Disorder|Schizophrenia
lydexa,lidocaine hydrochloride,Topical anesthetics,Pain
lyumjev,insulin lispro,Insulin,Diabetes (Type 1)
m-pap,acetaminophen,,Pain
macrobid,nitrofurantoin,Urinary anti-infectives,Bladder Infection|Prevention of Bladder infection|UTI|Urinary Tract Infection
macrodantin,nitrofurantoin,Urinary anti-infectives,Bladder Infection|Prevention of Bladder infection|UTI|Urinary Tract Infection
mag-oxide,magnesium oxide,Minerals and electrolytes,Constipation
magnesium citrate,magnesium citrate,Laxatives,Constipation|Not Listed / Othe
magnesium hydroxide,magnesium hydroxide,"Antacids, Laxatives",Acne|Constipation|Indigestion
magnesium oxide,magnesium oxide,Minerals and electrolytes,Constipation|Hypomagnesemia|Not Listed / Othe|Pathological Hypersecretory Disorder|Urinary Tract Stones
magnesium salicylate,magnesium salicylate,Salicylates,Inflammatory Conditions|Pain
mapap,acetaminophen,Miscellaneous analgesics,Pain
maraviroc,maraviroc,Chemokine receptor antagonist,AIDS/HIV|HIV Infection
marplan,isocarboxazid,Monoamine oxidase inhibitors,Depression
matzim la,diltiazem,"Calcium channel blocking agents, Group IV antiarrhythmics",Hypertension
max-freeze,menthol topical,Topical rubefacient,Pain
maxalt,rizatriptan,Antimigraine agents,Migraine
maxalt-mlt,rizatriptan,Antimigraine agents,Migraine
maxipime,cefepime,Fourth generation cephalosporins,Pneumonia
mecamylamine,mecamylamine,"Antiadrenergic agents, peripherally acting",Hypertension
medi-quik spray,lidocaine topical,Topical anesthetics,Pain
medicone,benzocaine,Topical anesthetics,Pain
medotar,coal tar,Miscellaneous topical agents,Psoriasis
medrol,methylprednisolone,Glucocorticoids,"Asthma|Asthma, Maintenance|Asthma, acute|Gout, Acute|Inflammatory Conditions|Rheumatoid Arthritis"
medrol dosepak,methylprednisolone,Glucocorticoids,"Allergic Rhinitis|Asthma|Asthma, acute|Atopic Dermatitis|Gout, Acute|Inflammatory Conditions|Osteoarthritis|Rheumatoid Arthritis"
meloxicam,meloxicam,Nonsteroidal anti-inflammatory drugs,Fibromyalgia|Inflammatory Conditions|Juvenile Rheumatoid Arthritis|Not Listed / Othe|Osteoarthritis|Rheumatoid Arthritis|Tendonitis|ibromyalgia
memantine,memantine,Miscellaneous central nervous system agents,Alzheimer's|Alzheimer's Disease|Autism|Migraine|Not Listed / Othe
menthac arthritis cream with capsaicin,capsaicin topical,Miscellaneous topical agents,Osteoarthritis
menthol,menthol topical,Topical rubefacient,Pain|Sore Throat
mentholatum deep heating,methyl salicylate topical,Topical rubefacient,Osteoarthritis
meperidine,meperidine,Opioids (narcotic analgesics),Light Sedation|Pain
meperitab,meperidine,Opioids (narcotic analgesics),Pain
mepolizumab,mepolizumab,Interleukin inhibitors,Asthma|Eosinophilic Granulomatosis with Polyangiitis
mesalamine,mesalamine,5-aminosalicylates,"Crohn's Disease|Crohn's Disease, Maintenance|IBD (Bowel)|Inflammatory Bowel Disease|Lymphocytic Colitis|Ulcerative Colitis|Ulcerative Colitis, Active|Ulcerative Colitis, Maintenance|Ulcerative Proctitis"
metadate cd,methylphenidate hydrochloride,CNS stimulants,ADHD
metamucil,psyllium,Laxatives,Constipation|Dietary Fiber Supplementation|Irritable Bowel Syndrome
metformin,metformin,Non-sulfonylureas,"Diabetes (Type 2)|Diabetes, Type 2|Diabetes, Type 3c|Female Infertility|Insulin Resistance Syndrome|Insulin Resistance Syndrome (Metabolic Syndrome)|Polycystic Ovary Syndrome|emale Infertility|min)"
methadone,methadone,Opioids (narcotic analgesics),Chronic Pain|Not Listed / Othe|Opiate Withdrawal|Pain
methadone diskets,methadone,Opioids (narcotic analgesics),Chronic Pain|Opiate Withdrawal|Pain
methadose,methadone,Opioids (narcotic analgesics),Chronic Pain|Opiate Withdrawal|Pain
methamphetamine,methamphetamine,"Anorexiants, CNS stimulants",ADHD|Obesity
methenamine,methenamine,Urinary anti-infectives,Bladder Infection|Kidney Infections|Kidney Infections (Pyelonephritis)|Prevention of Bladder infection|Prevention of Bladder infection (Cystitis Prophylaxis)|UTI|Urinary Tract Infection
methotrexate,methotrexate,"Antimetabolites, Antipsoriatics, Antirheumatics, Other immunosuppressants",Acute Lymphoblastic Leukemia|Acute Lymphocytic Leukemia|Acute Nonlymphocytic Leukemia|Bladder Cancer|Brain Tumor|Breast Cancer|Bullous Pemphigoid|Cervical Cancer|Choriocarcinoma|Cogan's Syndrome|Colorectal Cancer|Dermatomyositis|Ectopic Pregnancy|Eczema|Esophageal Carcinoma|Gastric Cance|Gastric Cancer|Graft-versus-host disease|Head and Neck Cancer|Hodgkin's Lymphoma|Juvenile Idiopathic Arthritis|Lymphoma|Mantle Cell Lymphoma|Meningeal Leukemia|Mycosis Fungoides|Neoplastic Diseases|Non-Hodgkin's Lymphoma|Non-Small Cell Lung Cancer|Osteosarcoma|Ovarian Cancer|Pancreatic Cancer|Pemphigoid|Pemphigus|Pityriasis rubra pilaris|Psoriasis|Psoriatic Arthritis|Rheumatoid Arthritis|Scleroderma|Small Cell Lung Cancer|Soft Tissue Sarcoma|Solid Tumors|Systemic Sclerosis|Trophoblastic Disease|Uveitis
methoxsalen,methoxsalen,Psoralens,Cutaneous T-cell Lymphoma|Psoriasis
methsuximide,methsuximide,Succinimide anticonvulsants,Seizures
methyl salicylate,methyl salicylate topical,Topical rubefacient,Muscle Pain|Osteoarthritis|Rheumatoid Arthritis
methylcellulose,methylcellulose,Laxatives,Constipation
methylin,methylphenidate,CNS stimulants,ADHD|Narcolepsy
methylin er,methylphenidate,CNS stimulants,ADHD|Depression|Narcolepsy
methylphenidate,methylphenidate,CNS stimulants,ADHD|ADHD (Attention Deficit Hyperactivity Disorder)|Depression|Fatigue|Narcolepsy|Not Listed / Othe|Obesity|Postural Orthostatic Tachycardia Syndrome|Severe Mood Dysregulation|Sleep Paralysis|atigue
methylprednisolone,methylprednisolone,Glucocorticoids,"Adrenogenital Syndrome|Allergic Rhinitis|Asthma|Asthma, Maintenance|Asthma, acute|Atopic Dermatitis|Dermatologic Lesion|Gout, Acute|Immunosuppression|Inflammatory Conditions|Nephropathy|Neuralgia|Not Listed / Othe|Osteoarthritis|Plaque Psoriasis|Rheumatoid Arthritis|Shock|Transverse Myelitis|Ulcerative Colitis, Active"
methylprednisolone dose pack,methylprednisolone,Glucocorticoids,Asthma
metoclopramide,metoclopramide,"GI stimulants, Miscellaneous antiemetics","GERD|GERD (Heartburn)|Gastroparesis|Lactation Augmentation|Migraine|Nausea/Vomiting|Nausea/Vomiting, Chemotherapy Induced|Nausea/Vomiting, Postoperative|Not Listed / Othe|Radiographic Exam|Small Intestine Intubation"
metolazone,metolazone,Thiazide diuretics,Edema|Hypertension
metoprolol,metoprolol,Cardioselective beta blockers,Angina|Angina Pectoris Prophylaxis|Aortic Aneurysm|Atrial Fibrillation|Benign Essential Trem|Benign Essential Tremor|Heart Attack|Heart Attack (Myocardial Infarction)|Heart Failure|Heart Failure (Congestive Heart Failure)|High Blood Pressure|High Blood Pressure (Hypertension)|Left Ventricular Dysfunction|Migraine Prevention|Migraine Prevention (Migraine Prophylaxis)|Mitral Valve Prolapse|Not Listed / Othe|Premature Ventricular Depolarizations|Supraventricular Tachycardia|Tapering Regimen
metronidazole,metronidazole,"Amebicides, Miscellaneous antibiotics","Amebiasis|Aspiration Pneumonia|Bacteremia|Bacterial Infection|Bacterial Vaginitis|Balanoposthitis|Balantidium coli|Bone infection|Bone infection (Osteomyelitis)|Clostridial Infection|Clostridioides difficile Infection|Crohn's Disease, Acute|Crohn's Disease, Maintenance|Deep Neck Infection|Dental Abscess|Dientamoeba fragilis|Diverticulitis|Dracunculiasis|Endocarditis|Gastrointestinal Perforation|Giardiasis|Helicobacter Pylori Infection|Intraabdominal Infection|Joint Infection|Lemierre's Syndrome|Meningitis|Nongonococcal Urethritis|Not Listed / Othe|Pelvic Inflammatory Disease|Perioral Dermatitis|Peritonitis|Pneumonia|Pouchitis|Pseudomembranous Colitis|Rosacea|STD Prophylaxis|Skin or Soft Tissue Infection|Surgical Prophylaxis|Trichomoniasis"
mg217 medicated tar,coal tar topical,Miscellaneous topical agents,Psoriasis
micardis,telmisartan,Angiotensin receptor blockers,High Blood Pressure|Hypertension
microzide,hydrochlorothiazide,Thiazide diuretics,High Blood Pressure|Hypertension
midamor,amiloride,Potassium-sparing diuretics,High Blood Pressure|Hypertension
midazolam,midazolam,Benzodiazepines,ICU Agitation|Light Anesthesia|Light Sedation|Seizures|Status Epilepticus
midol ib,ibuprofen,Nonsteroidal anti-inflammatory drugs,Osteoarthritis
miglitol,miglitol,Alpha-glucosidase inhibitors,"Diabetes (Type 2)|Diabetes, Type 2"
migranal,dihydroergotamine,Antimigraine agents,Cluster Headaches|Migraine
milk of magnesia,magnesium hydroxide,"Antacids, Laxatives",Acne|Constipation|Indigestion
mineral ice,menthol topical,Topical rubefacient,Pain
minipress,prazosin,"Antiadrenergic agents, peripherally acting",Benign Prostatic Hyperplasia|High Blood Pressure|Hypertension|Post Traumatic Stress Disorde
minitran,nitroglycerin,"Antianginal agents, Vasodilators",Angina
minocin,minocycline,Tetracyclines,Acne|Rosacea|Skin or Soft Tissue Infection
minocycline,minocycline,Tetracyclines,"Acne|Actinomycosis|Bacterial Infection|Bartonellosis|Brucellosis|Bullous Pemphigoid|Campylobacter Gastroenteritis|Cholera|Granuloma Inguinale|Meningitis, Meningococcal|Mycoplasma Pneumonia|Not Listed / Othe|Ocular Rosacea|Pemphigoid|Pemphigus|Periodontitis|Psittacosis|Q Fever|Rabbit Fever (Tularemia)|Rheumatoid Arthritis|Rosacea|Skin and Structure Infection|Skin or Soft Tissue Infection|Trachoma"
minolira,minocycline,Tetracyclines,Acne
minoxidil,minoxidil topical,Miscellaneous topical agents,Alopecia|Hair Loss|High Blood Pressure|Hypertension|Not Listed / Othe|Women (minoxidil)
mirabegron,mirabegron,Urinary antispasmodics,Incontinence|Overactive Bladde|Urinary Frequency|Urinary Incontinence
miralax,polyethylene glycol 3350,Laxatives,"Bowel Preparation|Constipation|Constipation, Acute"
mirtazapine,mirtazapine,Tetracyclic antidepressants,Anxiety|Depression|Hot Flashes|Insomnia|Major Depressive Disorde|Major Depressive Disorder|Not Listed / Othe|Obsessive Compulsive Disorde|Obsessive Compulsive Disorder|Post Traumatic Stress Disorde|Post Traumatic Stress Disorder
