query_id,label_idf_only_hit@20,label_idf_only_recall@20,label_idf_only_mrr,candidate_union_hit@20,candidate_union_recall@20,candidate_union_mrr,candidate_union_no_prior_hit@20,candidate_union_no_prior_recall@20,candidate_union_no_prior_mrr,candidate_union_no_bm25_hit@20,candidate_union_no_bm25_recall@20,candidate_union_no_bm25_mrr,candidate_union_no_prior_no_bm25_hit@20,candidate_union_no_prior_no_bm25_recall@20,candidate_union_no_prior_no_bm25_mrr
eval_0227,1.0,1.0,0.25,1.0,1.0,0.25,1.0,1.0,0.25,1.0,1.0,0.5,1.0,1.0,0.5
eval_0229,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.25,1.0,1.0,0.25
eval_0230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5
eval_0231,0.0,0.0,0.0,1.0,1.0,0.125,1.0,1.0,0.125,1.0,1.0,0.14285714285714285,1.0,1.0,0.14285714285714285
eval_0232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,1.0,1.0,0.5
eval_0233,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eval_0235,1.0,0.5,0.14285714285714285,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
eval_0237,0.0,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.1,1.0,0.3333333333333333,0.125,1.0,1.0,0.09090909090909091
eval_0241,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eval_0242,0.0,0.0,0.0,1.0,0.6666666666666666,0.08333333333333333,1.0,0.6666666666666666,0.08333333333333333,1.0,1.0,0.14285714285714285,1.0,1.0,0.14285714285714285
eval_0244,1.0,0.625,1.0,1.0,0.75,1.0,1.0,0.75,1.0,1.0,0.625,1.0,1.0,0.625,1.0
eval_0246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eval_0249,1.0,1.0,0.3333333333333333,1.0,1.0,0.16666666666666666,1.0,1.0,0.14285714285714285,1.0,1.0,1.0,1.0,1.0,1.0
eval_0250,1.0,0.6666666666666666,0.05555555555555555,1.0,1.0,0.16666666666666666,1.0,1.0,0.16666666666666666,1.0,1.0,0.06666666666666667,1.0,1.0,0.0625
eval_0251,1.0,0.6,0.3333333333333333,1.0,0.8,0.3333333333333333,1.0,0.8,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,0.6,0.3333333333333333
eval_0252,0.0,0.0,0.0,1.0,0.5,0.09090909090909091,1.0,1.0,0.07142857142857142,1.0,0.5,0.5,1.0,1.0,0.3333333333333333
eval_0253,0.0,0.0,0.0,1.0,0.5,0.3333333333333333,1.0,0.5,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.25
eval_0257,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eval_0260,1.0,1.0,0.14285714285714285,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333
eval_0261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.25,1.0,1.0,0.25
eval_0262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
eval_0264,1.0,0.75,0.07142857142857142,1.0,1.0,0.09090909090909091,1.0,1.0,0.09090909090909091,1.0,1.0,0.09090909090909091,1.0,1.0,0.09090909090909091
eval_0267,1.0,0.42857142857142855,1.0,1.0,0.5714285714285714,0.5,1.0,0.5714285714285714,0.5,1.0,0.5714285714285714,1.0,1.0,0.5714285714285714,1.0
eval_0268,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0
eval_0269,1.0,0.5,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eval_0270,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5
eval_0271,1.0,0.4,1.0,1.0,0.6,1.0,1.0,0.6,1.0,1.0,0.6,1.0,1.0,0.6,1.0
eval_0272,1.0,1.0,0.1,1.0,1.0,0.1,1.0,1.0,0.1,1.0,1.0,0.1111111111111111,1.0,1.0,0.1
eval_0273,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0
eval_0275,1.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333
eval_0276,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.058823529411764705,0.0,0.0,0.0,1.0,1.0,0.5
eval_0277,1.0,0.5,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eval_0278,0.0,0.0,0.0,1.0,0.25,0.1111111111111111,1.0,0.25,0.3333333333333333,1.0,0.75,1.0,1.0,1.0,1.0
eval_0279,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,0.2,1.0,0.6666666666666666,0.2,1.0,0.8333333333333334,1.0,1.0,1.0,1.0
eval_0280,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
eval_0281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
eval_0284,1.0,0.6,0.2,1.0,0.8,1.0,1.0,0.6,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
eval_0286,1.0,0.75,0.2,1.0,0.75,0.14285714285714285,1.0,0.75,0.14285714285714285,1.0,0.75,0.3333333333333333,1.0,0.75,0.3333333333333333
eval_0287,1.0,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.3333333333333333
eval_0289,1.0,1.0,0.08333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333
eval_0290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,1.0,1.0,0.5
eval_0291,1.0,1.0,0.25,1.0,1.0,0.1,1.0,1.0,0.1,1.0,1.0,0.5,1.0,1.0,0.3333333333333333
eval_0292,0.0,0.0,0.0,1.0,1.0,0.07142857142857142,1.0,1.0,0.06666666666666667,1.0,1.0,1.0,1.0,1.0,1.0
eval_0293,1.0,0.5,0.5,1.0,0.5,0.25,1.0,0.5,0.2,1.0,0.5,1.0,1.0,0.5,1.0
eval_0294,0.0,0.0,0.0,1.0,1.0,0.25,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
eval_0296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.25,1.0,1.0,0.25
eval_0297,0.0,0.0,0.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
eval_0298,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,0.25
eval_0300,1.0,0.5,0.05263157894736842,1.0,1.0,0.25,1.0,1.0,0.2,1.0,1.0,0.25,1.0,1.0,0.25
